tune,english
niseso,easy
runendi,eat
runendikano,eatable
runendiho,eating
gefroqi,eavesdrop
sasalpa,eclipse
kevrula,ecstacy
floxoga,edge
floxogo,edgy
lusliniha,edited
weftizi,educate
weftiziha,educated
griqara,education
yekindi,effect
yekindovano,effective
yekindovanoyo,effectively
yekindo,effectual
yekindoyo,effectually
rinaloyo,efficaciously
fedama,efficiency
fedamo,efficient
fedamoyo,efficiently
fuzdabalaso,effortless
klixeno,either
roblori,elaborate
gladeso,elastic
gladesoyo,elastically
geftegi,elect
txizexa,election
twaqizo,electric
bradamo,electronic
glufaso,elegant
yesmaxi,elevate
wokroni,eliminate
hoqkasa,elimination
xultiva,ellipse
xultivo,elliptic
xultivoyo,elliptically
twenafo,elsewhere
mogort,elusive
txiqiqa,embark (begin journey)
lukog,embarrass
glogeqi,embarrass
glogeqihoyo,embarrassingly
xurzuqi,embed
kopliv,embellish
brisoni,emerge
xigluza,emission
xigluzi,emit
xundika,emotion
xundiko,emotional
xundiko,emotionalistic
xundikoyo,emotionally
zodika,empathy
ranosta,emphasis
brodano,empirical
twefefi,employ
vuqofko,empty
fugreqi,emulate
wabriki,enable
zoqespi,enact
zuxisi,encapsulate
rusrofi,enchant
rusrofiho,enchanting
mimirda,enclosure
visniki,encourage
visnika,encouragement
visnikiho,encouraging
henafka,end
henafki,end (action)
zurtudi,endeavor (try hard)
henafkilaso,endless
henafkilasoyo,endlessly
pubrepi,endorse
zayuqki,endure
subira,enemy
drozeqa,energy
yafraxi,enforce
yafraxa,enforcement
slodadi,engage
slodada,engagement
smoziviwa,engineer
sagoge,english
nebleni,enhance
mamesi,enjoy
mamesikano,enjoyable
kegresa,enlighten
mihoso,enough
klobexi,enrich
spavixi,enroll
faslebi,ensemble
wipraqiha,enslaved
txabedi,ensure
zuvisa,entanglement
rusmusi,enter
dibadi,entertain
vivrifiho,entertaining
vivrifihoyo,entertainingly
hokloga,enthalpy
bibeso,entire
bibesoyo,entirely
sohalta,entrance
gobriva,entropy
lodroma,environment
lekloxa,envoy
giploqi,envy
zuvofto,ephemeral
bunotx,epidemic
fagurta,epiphany
glunufa,episode
mefreso,equal
mefresoyo,equally
moraqka,equanimity
mefresi,equate
muspula,equation
glinula,equilibrium
klekona,equity
fuspafa,equivalence
fuspafo,equivalent
wusrokikano,erasable
wusroki,erase
fepopo,erect
samefto,ergo
nomzuf,error
xoyami,escalate
prikivi,escape
zayulta,essence
yesmagayoga,essentialism
mufkeni,establish
lorenda,esteem
bidarp,estimation
moxiza,etcetera
girego,eternal
kirdika,ethics
panzuta,ethnicity
plexika,euphoria
nibusti,evaluate
smenori,evaporate
diglosa,eve
yeqolpa,evening
txagoqa,event
txagoqafalo,eventful
yeklufo,ever
loslamo,everywhere
globuba,evidence
globubo,evident
pogzuti,evoke
nasafa,evolution
zayaspoyo,evolutionarily
nasafi,evolve
snuqugo,exact
hinani,exaggerate
zagloqi,exalt
spisiri,examine
boviz,example
kiqifti,excavate
brogavi,exceed
xoftuko,excellent
xoftukoyo,excellently
vrizuno,except
gunega,exception
gunegakano,exceptionable
gunegovana,exceptionality
presada,excess
vrimoqi,exchange
gemzegi,excites
wutrodi,exclude
ridonda,exclusion
zezdavi,excuse
glesusi,execute
glesusiwa,executive
gisiko,exempt
buhafka,exercise
droxexi,exert
ginizi,exhaust
ginizinado,exhaustive
ginizinadoyo,exhaustively
srimosi,exhibit
bultifi,exist
korpiza,existence
korpizo,existential
midefko,exotic
laftafi,expand
brifida,expansion
dufluni,expect
dufluna,expectation
dufluniho,expecting
duflunihoyo,expectingly
homotxo,expensive
bufrina,experience
bufrino,experiential
degreko,experimental
degrekoyoga,experimentalism
degrekoyo,experimentally
degreki,experimentation
degrekiwa,experimenter
vardozawa,expert
frafuri,expire
limirti,explain
limirta,explanation
raltido,explicit
dunori,explode
vekami,exploit
pusnuta,exploration
srifif,exponent
dranem,exponential
farpebi,expose
husara,exposition
zumuka,expression of intense feeling
kusroxo,exquisite
kogosti,extend
hastefa,extension
vukano,external
sefkimo,extinct
horpufi,extinguish
vohexi,extinguish (put out)
piqkoti,extract
piqkota,extract (object)
bamulp,extrapolate
wevofo,extreme
bezdasi,eye
wabruzi,fabricate
semzeso,fabulous
semzesoyo,fabulously
lomini,face
lulpima,face/surface
waxodoyo,facially
frigovi,facilitate
bufrofa,factorial
bufrofa,factorial
muruna,factory (making place)
lakik,faculty
worzidi,fade
worzidiha,faded
worzidihayo,fadedly
firpidi,fail
kigzaqi,faint (air)
xegaro,faint (visibility)
xegaroyo,faintly
vunzovo,fair (equal)
nohama,faith
nohamafalo,faithful
raflobi,fake
yizuqki,fall
srizoxa,fallacy
bihesto,familiar
bihesta,familiarity
bihestoyo,familiarly
bayoga,family
seborp,famous
muspod,famously
mayarto,fancy
vrufavo,fantastic
kovriboyo,fantastically
lirefta,fantasy
ladrodo,far
mamdafo,farther
nawarto,farthest
kasniva,fashion
zugurpo,fast
naribi,fasten
vespuqo,fastest
trobexiho,fasting
slaviko,fat
toqkapo,fatal
toqkapoyo,fatally
pustiti,fate
pustita,fate/predestiny
gorziva,father
slavikoyo,fatly
glosada,fault
lizdumo,faulty
zigluva,favor
zigluvakano,favorable
huhufa,fear
huhufi,fear (action)
huhufafalo,fearful
huhufalaso,fearless
xusloxa,feast
txuziza,feature
yeyefi,feed
geyesk,fence
kartadi,fend
vremegovana,ferocity
tetado,fertile
tetadi,fertilize
klagedi,fetch
westoka,fiber
loflefa,fiction
minospi,fiddle
snavevi,fidget
waxona,field
froqoxo,fierce
daplasi,fight
xuflavi,figure out
mebuna,file
hoyixi,fill
xidreqo,filth
xidreqoyo,filthy
xevruno,final
somduba,finance
keqkaxi,find
kurozo,fine
kurozoyo,finely
naskama,finger
kuxeqki,finish
kovafa,fire
vekedo,firm
vekeda,firmness
tapasta,fish
zamdaka,fission
proniro,fit
winzaqo,fittest
xomzovi,fix
slesuroyo,flabbily
slesuro,flabby
bihula,flag
lizdora,flake
duyezi,flash
sibrafa,flask
luforpo,flat
luforpoyo,flatly
ridulpi,flaunt
kekarpa,flavor
ruspini,flee
sasnena,flesh (life material with nerves)
nufroni,flex
rolendo,flexible
hawari,flick
sniriflintx,flinch
daltoli,flirt
busoqki,float
gogemi,flock
gogema,flock (object)
vagrala,flood
nomdima,floor
gegetxi,flop
gegetxoyo,floppily
gegetxo,floppy
hestoni,floss (clean between)
vrabuxi,flow
finorda,flower
kusnavi,fluctuate
fulpodi,fluff
vupriko,fluid (flowable)
vuprikoyo,fluidly
zefozi,flunk
glexoqa,flurry
vrivumi,flush
luforpi,flutter
luforpiho,fluttering
dudrana,flux
smemofa,fly
yosmekiho,foaming
yosmekihoyo,foamingly
rikruga,fog
hifkimi,fold
sebiqka,folk
nimiri,follow
nimiriwa,follower
nimiriho,following
naxexo,fond
ledrina,food
dahanda,fool
dahando,foolish
lorendo,for
gegospi,forbid
gegospo,forbidden
husirpa,force
rumzaso,fore
keproxi,forecast
wuxulto,foreign
loftemo,foremost
vrimoki,foresee
gusmozo,forever
napliri,forge
sozdena,forgery
namasi,forget
zosniqi,forgive
sokleqa,forgiveness
xunexa,fork
wufkuga,form
lebem,formal
zuzduqi,formalize
sawaza,formation
sawaza,formation
kliqado,former
yigefka,formula
puspeti,forsake
sizok,forte
wadrezo,forth (from this time forward)
furoba,fortune
sukrugo,forwards
trazofa,fossil
twemino,foul
zemdezi,found
kiskeqa,foundation
mirusta,fountain
sobalpa,fraction
durdaso,fragile
blagoka,fragment
flosibo,fragrant
flosiboyo,fragrantly
kaslavo,frantic
gisnazi,freak (scare)
burdulo,free
nanona,freedom
spikaka,freelance
kayufi,freeze
zonziziho,freezing
sazdoma,frequency
txemobo,frequent
txemoboyo,frequently
zuboxo,fresh
zuboxoyo,freshly
twigaxa,friction
linzira,friend
linziro,friendly
ribrama,friendship
nefkifiho,frightened
posnipa,fringe
kuzulti,frolic
swazemo,from
mulimo,front
xulteqi,froth
dubolto,frothy
ropran,fruitful
bemdefi,frustrate
bemdefiho,frustrating
plinebi,fry
vozurda,fuel
nidibi,fume
yufkuka,fun
nogeka,function
nogekoyoga,functionalism
klogud,functionalistic
latrok,functionality
nogekoyo,functionally
xetruso,fundamental
zidraza,fundamentals
fostaba,funnel
tarzipoyo,funnily
vutxugo,funny
zuzdoxo,furious
nuslala,furrow
lefolo,further
zuzdoxa,fury
difari,fuse
begraka,fusion
rokrazi,fuss
rokrazoyo,fussily
rokrazo,fussy
yuyoba,futile
mardab,future
sparefoyo,fuzzily
sparefo,fuzzy
vardozi,gain
vardoza,gain (object)
vardoza:falo,gainful
vardoza:faloyo,gainfully
yexori,gamble
zuduva,game
zuduvayo,gamely
samofa,gap
kugradi,gape
kugradiho,gaping
rusesa,gas
monzama,gate
yurduvi,gather
norziro,gaudy
fulpuba,gauge
falaqko,gaunt
savrego,gawky
votromi,gaze
glubida,gear
frimuda,gem
sesresa,gender
vuxutxo,general
kufkova,generality
vuxutxa,generalization
vuxutxiha,generalized
zuxofi,generate
vordexovana,generosity
vordexo,generous
vordexoyo,generously
ludoma,genius
lorzeso,gentle
xesmazo,genuine
refrisa,germ
kukula,gesture
worteso,ghastly
veyaqka,giant
krimiko,giddy
rindoda,gift
rindodoyo,giftedly
fayako,gigantic
finuroyo,gigantically
golzuza,girdle
gafleqa,gist
snebafi,give
kamzazo,glad
kamzaza,gladness
kroniq,glamorous
yusnixi,glance
huxagi,glare
huxagiho,glaring
huxagihoyo,glaringly
wuvifti,gleam
wuvifto,gleaming
fibutxafaloyo,gleefully
vogundi,glide
xozdexi,glimpse
gukradi,glisten
prisama,gloom
prisamoyo,gloomily
prisamo,gloomy
dagovo,glorious
grokafa,gloriousness
dagova,glory
bledimo,glossy
bifoni,glow
bifoniho,glowing
fusada,glue
rofkedi,gnaw (continuously chew)
wozdaki,go
walarti,goad
vukroba,godliness
vrasazayo,godly
txulama,gold
txulamo,golden
frukoqo,good
prozizo,goofy
bifufko,gorgeous
bifufkoyo,gorgeously
grefoxi,gossip
krunuvi,govern
luqkeda,government
xuleki,grab
xuleka,grab (object)
klusogi,grace
klusoga,grace (object)
klusogo,gracious
nalusi,grade
txiqaqo,gradual
gesarti,graduate
miskiri,graft
ruvroxo,grand
ruvroxoyo,grandly
fixugi,grant
nenuri,grasp
xezoda,grass
libledi,grate
granexafalo,grateful
yortobi,gravitate
yedrivo,gravitational
yortoba,gravity
srazegi,graze
brusoso,greasy
hozuxo,great
dundodo,greater
duhido,greatest
glaxaza,greed
glaxazayo,greedily
glaxazo,greedy
sluluni,greet
xugrafa,grievance
bifuspi,grieve
bifuspiho,grieving
gufloqi,grill (ask a lot of questions)
xezdevo,grim
dudrida,grime
xezdevoyo,grimly
dudrido,grimy
bubosa,grin
bubosi,grin (action)
resadi,grind
snonobi,grip
kiyamo,gritty
prapati,groan
nosaski,groom
smaluma,groove (in space)
nolosti,grope
nolostihoyo,gropingly
zoyuso,grossly
yameva,ground
tutalta,group
fokliqi,grovel
virdezi,grow
virdeza,growth
keprazo,grubby
risteda,grudge
vuhiva,gruel
nebalti,grumble
botrazo,grumpy
seplafi,grunt
brukoka,guarantee
brukoki,guarantee (action)
txaxixi,guard
miblesa,guest
wukefki,guide
frokaka,guile
hokaxa,guilt
hokaxi,guilt (action)
hokaxoyo,guiltily
hokaxo,guilty
zuzod,gullible
dirulpi,gulp
geyesti,gush
hedrema,gut
mutreki,guzzle
lodubi,gyrate
momzira,habit
zuguna,habitat
bidandi,hack
kranoki,haggle
basida,half
neslola,hall
xabroxi,hallucinate
niskeda,halogen
bulpafiho,halting
vroseka,hand
vrosekoyo,handily
saxiza,handle
vroseko,handy
vrubigi,hang
vrubigiho,hanging
gasexi,happen
gasexi,happen
yaspegi,happily
girpaka,happiness
girpako,happy
tesniti,harass
twekeko,hard
twekekoyo,hardly
huklozi,harm
huklozafalo,harmful
huklozafaloyo,harmfully
huklozilaso,harmless
huklozilasoyo,harmlessly
smogaka,harmony
sridaso,harsh
sladaloyo,harshly
nofkona,harvest
smusola,haste
nanzami,hate
nanzamofalo,hateful
wegleki,haunt
weglekiha,haunted
gispivi,have
yuguska,head
mifkoni,heal
mifkona,health
mifkonoyo,healthily
fuslof,hear
fegega,heart
fegegalasoyo,heartlessly
dohatxa,heat
yogaspa,heaven
yogaspayo,heavenly
bagzoroyo,heavily
bagzoro,heavy
diskeni,heckle
weyaki,hedge
flanuri,heed
mispora,height
senorda,heir
roskofi,help
roskofifalo,helpful
roskofifaloyo,helpfully
roskofilaso,helpless
durifo,hence
yasuva,herd
sisufa,herds
vuspezo,here
wekispo,hereby
hahaba,hermitage
bayiza,hero
bayizo,heroically
zospeqo,hesitant
zospeqoyo,hesitantly
tomupi,hesitate
zospeqihoyo,hesitatingly
smefis,heuristic
fuglasi,hibernate (sit and wait)
lurtoqo,hidden
siyiri,hide
fusmeso,hideous
fusmesoyo,hideously
denzomo,high
prixazi,highlight
hubalti,hike
natxino,hilarious
kisleka,hill
flibedi,hinder
hoplusa,hinge
dalomi,hint
spuqeva,hip
snidubi,hire
kokofi,hiss
kokofiwa,hisser
kokofiho,hissing
durtovo,historical
durtova,history
raspasi,hit
xeqiqki,hoard
kogardo,hoarse
gramag,hoax
xuhoki,hog
lusetxi,hold
menora,hole
hardumo,hollow
masmoro,holy
huwaxo,homologous
humaqki,hone
wubroxo,honest
yondaza,honor
yondazakanoyo,honorably
minzuni,hook
minzuniho,hooked
flifali,hop
yaqufti,hope (action)
yaquftafalo,hopeful
yaquftafaloyo,hopefully
yaquftalasoyo,hopelessly
yaquftihoyo,hopingly
nafkida,horizon
neplalo,horizontal
zezduxa,horn
fiqkula,horocycle
bitxulo,horrendous
twavixo,horrible
twavixoyo,horribly
xibriqi,horrify
newufta,host
slidafo,hostile
slidafoyo,hostilely
slidafa,hostility
gispivo,hot
xirtuga,hotness
nubordi,hound
klixifa,hour
klixifayo,hourly
wowifti,house
bemdani,hover
tuhepo,however
buzega,hub
yorpiz,hug
tolzupo,huge
tolzupoyo,hugeously
fonaspiho,hulking
zixudi,hum
nuftano,humane
nuftanoyo,humanely
zigetxo,humble
zigetxihoyo,humblingly
natrazi,humiliate
xiftigi,humor
fuglada,hunch
klixama,hunger
klixamoyo,hungrily
vazini,hunt
honama,hurricane
smudidiha,hurried
smudidihayo,hurriedly
smudidi,hurry
smudidihoyo,hurryingly
hudiska,hurt
hudiskafaloyo,hurtfully
hudiskalasoyo,hurtlessly
pitema,husband
buluspi,hush
xesmiqiha,hushed
sexoza,huskiness
sexozo,husky
ramuda,hybrid
nemufto,hyper
grekima,hyperbola
ximziga,hypercycle
prakoqi,hypnotize
sidula,hypocrisy
sidulawa,hypocrite
furdala,hypothesis
gusmuga,hysteria
xagluqo,icy
glemosa,idea
flakuqo,ideal
fomdirikanoyo,identifiably
fomdiri,identify
smedafa,idiot
smedafo,idiotic
srinaro,idle
datrevi,ignite
burisivana,ignorance
dogigo,ignorant
rusnaboyo,ignorantly
burisi,ignore
spidido,ill
boskoni,illuminate
hizdosa,illusion
yizdiki,illustrate
hiklig,image
wifkagikano,imaginable
wifkagikanoyo,imaginably
wifkago,imaginary
wifkaga,imagination
wifkaginado,imaginative
wifkagi,imagine
drulami,imitate
hukluxiho,imitating
satraqoyo,immaturely
vomazo,immediate
vomazoyo,immediately
fraqavi,immerse
premaloyo,immoderately
xokifkoyo,immortally
wuralti,impair
wodregi,impale
fanofko,impeccable
damzusi,impede
krevifo,imperfect
noledi,implant
batxes,implementation
sobrefi,imply
pluleno,impolite
lalaloyo,importantly
zetxozi,importune
dralesi,impose
zafrago,impossible
zafragoyo,impossibly
barpunoyo,imprecisely
glaxaqi,impress
glaxaqinadoyo,impressively
dolorpo,impromptu
yovibi,improve
mifrebi,improvise
betruzo,appropriate
xixumoyo,inappropriately
xavafkanado,inattention
liftoso,audible
mofiroyo,inaudibly
spoqixa,inception
hitxufa,incest
pligeki,incline
bobetxi,include
xazetxoyo,incompletely
haltaboyo,inconsiderably
depleni,incorporate
txezigokanoyo,incorruptibly
snediri,increase
glutipihoyo,increasingly
yubikihoyo,increasingly
hunebo,credible
wudruxo,incredible
binini,incriminate
wakluli,incubate
boludi,incur
pupuftoyo,incurably
pipalo,indeed
higzubo,definite
vuyofkoyo,indefinitely
wudreki,indent
zefigo,independent
donzidi,indicate
donzidi,indicate
bidrama,indication
kimduqo,individual
kimduqa,individual
kimduqonado,individualistic
kimduqoyo,individually
smabaf,induce
varzogavana,inductance
varzoga,induction
lohordi,indulge
dafredo,industrial
hefliso,inefficient
glinimoyo,inefficiently
valpuxo,inert
dibomo,inexpensive
ridufki,infect
dihoqki,infer
kalpaqo,inferior
kegliqi,infest
zistuxawa,infidel
vifeko,infinitesimal
bumzufa,infinity
sesofti,inflect
defeni,inflict
xaqkeki,influence
hezduni,inform
hofrifi,infringe
kravida,ingredient
kunuvi,inhabit
grugifi,inhibit
viflaxo,initial
notroki,initiate
notroka,initiation
nomdesi,inject
lugraga,injuries
ludofka,injury
dustedi,ink
sudrebo,inland
yamdoxo,inner
yiplexa,innocence
yiplexo,innocent
lomofi,innovate
lomofa,innovation
volpiqi,input
yorturo,insane
trizebo,insecure
rowado,insensitive
histofi,insert
grodeza,inside
nupraba,insight
brulefi,insist
viklumi,inspect
viklumiho,inspecting
viklumiwa,inspector
garpaqa,inspiration
garpaqi,inspire
yuvefi,install
klobev,instance
xifriza,instant
xifrizo,instantaneous
wafriqo,instead
rusaqki,instigate
fusnuri,institute
spevexi,instruct
mosloni,instrument
moslona,instrument
gifuga,instrumentation (implementing instruments)
glufidi,insulate
sezdami,insult
plokigo,intact
brupitikano,integrable
brupito,integral
nandima,integrals
riskora,integrand
brupiti,integrate
brupitiha,integrated
desrena,integration
panata,integrity
bastofa,intellect
bastofo,intellectual
fososa,intelligence
sadirti,intend
fomziro,intense
sadirta,intention
sadirtavano,intentional
sadirtavana,intentionality
rumzofi,inter
vigorp,interact
fuflosi,intercept
kekrina,interest
kekriniha,interested
kekriniho,interesting
kekrinihoyo,interestingly
priquxi,interfere
priquxa,interference
zortona,interim
bolebo,interior
horpuli,interject
sosredo,intermediate
sosnomo,internal
yeglazo,internet
buyuki,interpret
buyuka,interpretation
dastumi,interrogate
vrazuni,interrupt
wurduni,intersect
surposi,intertwine
surposiha,intertwined
reqkum,interval
yaqkuzi,intervene
zoploki,interview
zoploka,interview (object)
razuva,intestine
nokego,intimate
hegovi,intimidate
xekutxo,intransitive
prolafo,intricate
dibluri,introduce
diblura,introduction
yospugi,introspect
spepiti,invade
momzido,invalid
soloro,invariant
sufrif,invasion
miftifi,invent
finzada,inventory
homiski,invert
wixifti,invest
txibali,investigate
wixiftiho,investing
wixiftiwa,investor
rulpefo,invincible
royofo,invisible
hidomi,invite
fatiti,invoke
snuqezi,involve
sruxugo,iridescent
wespoga,iris
hudolta,iron
trizarovana,irrationality
fustiso,irrelevant
fustisoyo,irrelevantly
henzufikano,irreversible
niflidi,irrigate
susmobo,irritable
yuyaqki,irritate
susmobiho,irritating
zutxog,island
tonati,itch
tonato,itchy
lafafta,item
gavondi,iterate
drinebo,jaded
zivrudo,jagged
kriquba,jail
feduspi,jam
sastimo,jealous
sastima,jealousy
muskefo,jeering
lesled,jeopardy
yeyofti,jerk
hiprusa,jest
driqazi,jiggle
kirduzi,jingle
wizduvi,jitter
xablag,job
guzeqki,join
kugoba,joint
txiqexa,joke
kragefoyo,jollily
kragefo,jolly
vrigibi,jolt
hozdomi,jostle
wugluza,joy
wugluzafalo,joyful
wugluzalaso,joyless
xuxift,judge
gusuki,juggle
rulusta,juice
guskuko,juicy
druvaxi,jumble
lendali,jump
lendalo,jumpy
tusnapo,junior
lasomo,just (justice)
lasoma,justice
lasomi,justify
lasomoyo,justly
soyogi,jut
detopo,juvenile
lofemo,keen
lofemoyo,keenly
keyigi,keep
ledosto,kempt
zezdiva,key
lozdusi,kick
bozdobi,kid
dudesti,kill
kilogram,kilogram
seglofo,kind
hulitxo,kind-hearted
hulitxoyo,kindheartedly
rudoso,kinematical
kruxusa,king
bafispa,kingdom
kruxuso,kingly
vugodi,kiss
kahoxi,knead
difkada,knee
biridi,kneel
yiqkegi,knit
smimafi,knock
nuyigi,knot
nuyigo,knotty
gospoxi,know
gospoxiho,knowing
gospoxo,known
manzara,label
manzari,label (action apply label)
muglusa,labor
nafrali,lace
travuli,lack
travuliho,lacking
smuledo,lacy
saftudi,lag
vopluko,lame
voplukoyo,lamely
draxoqa,lameness
fisetxi,lament
yuhuza,land
gobluza,lane
reyura,language
vihuvi,languish
pablupi,lap
kriqena,laptop
doyarto,large
femani,latch
nartuko,late
nartukoyo,lately
xikrolo,lateral
dregogi,lather
frunona,latitude
zespuvi,laugh
zespuvikano,laughable
zespuvikanoyo,laughably
hegazi,launch
xiklufa,law
xiklufafalo,lawful
xiklufiwa,lawyer
xoqkuki,lay
xigatxo,lazy
brogeki,lead
brogekiwa,leader
soheda,league
lofuda,lean
lofudo,leanly
kaqkogi,leap
sazdefi,learn
sazdefiho,learned
plesimo,least
ziqaqka,leather
guflugi,leave
yogalpi,lecture
turpota,leek
digrizo,leeward
lamufka,left
lanuda,leg
vresavo,legitimate
pobata,lemon
husnudi,lend
noseqka,length
noseqkoyo,lengthily
noseqko,lengthy
xugloxo,lenient
basnira,lens
drulumi,let
frefubo,lethal
wemorta,letter
swifeka,level
xunziqo,liable
fosmisiwa,liar
gibruqa,liberation
posneta,license
nemispi,lick
fosmisi,lie
fosmisa,lie (object)
mugiga,life
biflumi,lift
biflumiha,lifted
genzeqa,light
genzeqi,lighten
wexoqka,lightning
slutapi,like
ledono,limber
fakexa,limit
dalzoba,limitation
fakexihayo,limitedly
fakexalaso,limitless
dodordi,limp
hakruza,line
dufkuro,linear
glufudi,linger
nuftasa,link
nibetxa,lip
wagrona,liquid
wagroni,liquidate
susniba,list
slufari,listen
hosmado,literary
vevemo,literate
xorzavo,little
mugigi,live
mugigiha,lived
mugigoyo,lively
spixiva,liver
mugigiho,living
krevesi,load
bladudo,loath
musnani,lob
spebudo,local
yadiga,locality
vuqkoki,locate
vuqkoka,location
fispifa,logarithm
nahisa,logic
kluxori,loiter
zakalpo,lone
zakalpoyo,lonely
netrigo,long
hesalo,longing
hesaloyo,longingly
loglosoyo,longitudinally
trezumi,look
yamdiqo,loose
finiski,loosen
laspuba,lord
wiglexa,lore
slabemi,lose
slabema,loss
slabemihayo,lost
busundo,lots
kunzixo,loud
kunzixoyo,loudly
zuyafki,lounge
wibrogo,lousy
keweka,love (sacrificing for others)
srugoqo,low
srugoqoyo,lowly
roforo,loyal
lodoski,lubricate
vikluma,luck
viklumoyo,luckily
viklumo,lucky
naplebi,lull
ronotxi,lumber
plemura,lump
plemuranado,lumpish
plemuranadoyo,lumpishly
plemuro,lumpy
lofkar,lunatic
nevavi,lunge
slalobi,lurch
medorpi,lure
hemzefi,lurk
frasosa,lust
kixefa,machine
snatoto,mad
zamziqa,magic
zamziqo,magical
wavruba,magnet
kirzuva,magnetization
niglibo,magnificent
srikiqa,magnitude
frenola,mail
blopepi,maintain
blopepa,maintainance
trodixo,major
txulali,make holy
yastixo,malicious
zozani,manage
zozaniwa,manager
klaloqi,manifest
glatapa,manifold
moltasi,manipulate
xigala,manner
yaxisto,manual
yaxistoyo,manually
neftami,manufacture
barzino,many
fusinda,map
twasari,map (action)
fundari,march
dokev,marginal
hikoxo,marital
xubraqi,mark
xubraqiha,marked
mufonda,market
hikoxa,marriage
vostiga,marrow
hikoxi,marry
hawaga,marsh
swaqeba,martyr
krafaqi,marvel
krafaqo,marvelous
krafaqoyo,marvelously
spololo,masculine
mestoni,mash
leblusa,mask
votxexa,mass
distabo,massive
hiskomi,match
domzibi,mate
lasrifa,material
nurumo,materialistic
lasrifavana,materiality
kregosa,matrix
visnexa,matter
feduspo,mature
feduspoyo,maturely
blobobo,maximum
yetrumi,mean
xugondi,meander
yetruma,meaning
yetrumafalo,meaningful
yetrumafaloyo,meaningfully
dospedo,meantime
bruburi,measure
zasnava,meat
zasnavo,meaty
netxami,meddle
kaqifk,median (statistics)
dismudi,mediate
fuspumi,meditate
fuspuminadoyo,meditatively
xukaska,medium
guwalto,meek
guwaltoyo,meekly
luvruxi,meet
diruqko,mellow
hartezo,melodious
harteza,melody
hufodi,melt
hufodiha,melted
sovroka,member
gigzeza,membrane
datxolikano,memorable
datxoli,memorize
datxola,memory
ruhofkawa,menace
vozulp,menacing
pinduti,mend
xozuba,menorah
hamamo,mental
rekuki,mention
furdodi,mentor
furdodiwa,mentor (person)
lefasti,meow
dinzenafalo,merciful
dinzenafaloyo,mercifully
dinzenalaso,merciless
dinzenalasoyo,mercilessly
dinzena,mercy
vezosko,merely
regruva,merit
smazuqoyo,merrily
smazuqo,merry
xafivi,message
xafiviwa,messenger
gitxoko,messy
plulesi,metabolize
sudona,metal
sudono,metallic
sufkana,metallurgy
gufuga,method
laroma,metric
zivino,mid
fidomo,middle
setroqa,midnight
fadrono,midway
betxomo,mighty
bestufi,migrate
hamuqko,mild
smuveza,mile
vusluka,milk
vuslukoyo,milkily
vusluko,milky
mogrika,mill
yuftuqi,mimic
rugzidi,mince
blinuda,mind
blinudalaso,mindless
yigzoxa,mine
zagradi,mingle
sonzud,minimality
kuyulpa,minister
fogego,minor
kluzoba,mint
loblus,minute
hoskena,miracle
sonefka,mirror
nureski,mischief
logogakano,miserable
logoga,misery
birusi,misinform
vogola,missile
frunafa,mist
frunafi,mist (action)
wabluva,mistake
wabluvo,mistaken
wabluvoyo,mistakenly
frunafoyo,mistily
wabluviha,mistook
frunafo,misty
smununa,mite
bitruvi,mix
bitruviha,mixed
wawofki,moan
wawofkafaloyo,moanfully
kavand,mob
vuqkeqo,mobile
fliqegi,mock
foworpihoyo,mockingly
xegur,mode (statistics)
snonina,model
snonini,model (action)
dagloso,moderate
nislumoyo,moderately
zayafto,modern
zayaftoyo,modernly
xorpixo,modest
xorpixoyo,modestly
xorpixa,modesty
droqoki,modify
trulago,modulo
fiblumi,moisten
fokraxi,mold
sufun,molecule
semdumi,molest
fragovi,molt
trinazoyo,momentously
kluqola,momentum
yivisi,monitor
bazexo,monotonous
zesmago,monstrous
nospima,month
nospimayo,monthly
sufebi,moo
nusufto,moody
sistaba,moon
laradi,mope
haromo,morbid
romafto,moreover
buxuva,morning
lodrofi,morph
mendedo,mortal
kovuspi,mortify
glaloli,mosey
xokreso,most
rismida,motion
rismidalaso,motionless
rismidalasoyo,motionlessly
yespuga,motive
semutxa,motor
ziploga,mound
yunzuvi,mount
gafluva,mountain
xibleqi,mourn
lufesta,mouth
gubleqikanoyo,movably
gubleqi,move
gubleqa,movement
momura,movie
woltegi,mow
kikirto,much
danzosi,muddle
mibafki,muffle
mibafkiha,muffled
grafixo,muggy
nepeti,mull
mifesto,multiple
rogluri,mumble
tolzeto,murky
flarani,murmur
yeklori,muse
bofospa,mush
bofospoyo,mushily
smizuqa,music
triqana,mutant
triqani,mutate
nalofi,mute
soliqki,mutilate
xovrebo,mysterious
xovreboyo,mysteriously
xovreba,mystery
xovrebi,mystify
sigruki,nag
flukovi,nail
zugando,naive
fikligo,naked
sufemi,nap
xiflugi,narrate
ploxako,nasty
fetxuso,native
prizugo,natural
yikrosa,naturalistic
prizuga,nature
rakluzo,naughty
hartoki,nauseate
hartoko,nauseous
snesina,navel
yosrixi,navigate
grudoxo,near
vagralo,neat
lepati,neaten
vagraloyo,neatly
loraloyo,necessarily
loralo,necessary
masani,necessitate
bordisi,need
bordiso,needy
rusrasa,negation
txaqevo,negative
ninzali,neglect
maraski,negotiate
teniti,neigh
monzeda,neighbor
gibiga,nerve
gibigo,nervous
rasifti,nest
waqkozi,nestle
rafarpi,net
rafarpa,net (object)
yikrama,network
